campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
CU Denver,U0003 -- U-ADM CONSOL CHAN CHANCELLOR,U0109 -- U-ADM-Chancellor Anschutz,Ombudsman Office,R25-1041962,ACADEMIC SERVICES ASSOC DIR,Univ Staff - Academic Services,100,"$109,656.00",0
CU Denver,D0020 -- D-CAM-DEAN OF ARTS & MEDIA,30121 -- CAM-Music & Entertainment,CAM-Music & Entertainment,R25-1041972,LECTURER,Other Faculty,42.5,"$30,900.00",1
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30098 -- CLAS-English,CLAS-English,R25-1041982,ASSISTANT TEACHING PROFESSOR,Regular Faculty,100,"$83,764.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30077 -- CEDC-Computer SC & Engineering,CEDC-Computer SC & Engineering,R25-1042002,ASSOCIATE PROFESSOR,Regular Faculty,100,"$129,804.00",0
CU Denver,D0016 -- D-CEDC-Dean of Engineering,30077 -- CEDC-Computer SC & Engineering,CEDC-Computer SC & Engineering,R25-1042002,ASSOCIATE PROFESSOR,Regular Faculty,27,"$3,000.00",1
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30092 -- CLAS-Anthropology,CLAS-Anthropology,R25-1042013,PROFESSOR,Regular Faculty,100,"$112,704.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30110 -- CLAS-Psychology,CLAS-Psychology,R25-1042015,PROFESSOR,Regular Faculty,100,"$130,814.00",0
CU Denver,D0019 -- D-CAP-DEAN-ARCHITECTURE & PLAN,30116 -- CAP-Admin & Instruction Svcs,CAP-Admin & Instruction Svcs,R25-1042040,ACADEMIC SERVICES PROGRAM MGR,Univ Staff - Academic Services,100,"$79,926.00",0
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30109 -- CLAS-Political Science,CLAS-Political Science,R25-1042052,ASSOCIATE PROFESSOR,Regular Faculty,100,"$92,901.00",1
CU Denver,D0020 -- D-CAM-DEAN OF ARTS & MEDIA,30121 -- CAM-Music & Entertainment,CAM-Music & Entertainment,R25-1042081,LECTURER,Other Faculty,22.5,"$15,759.00",0
CU Denver,D0014 -- D-BUS-DEAN OF BUSINESS,30055 -- Business School,Business School,R25-1042109,EXECUTIVE DIRECTOR,Univ Staff - Executive,100,"$130,000.00",0
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30062 -- SEHD DEAN,SEHD DEAN,R25-1042114,LECTURER,Other Faculty,22.5,"$5,000.00",0
CU Denver,D0015 -- D-SEHD-SCHOOL OF EDUC&HUMANDEV,30070 -- SEHD CPE,SEHD CPE,R25-1042114,LECTURER,Other Faculty,22.5,"$5,000.00",1
CU Denver,D0018 -- D-CLAS-DEAN OF LIBERAL ARTS &,30094 -- CLAS-Chemistry,CLAS-Chemistry,R25-1042117,LECTURER,Other Faculty,37.5,"$10,000.00",1
