campus,dept_group,dept_group_detail,dept_name,roster_id,job_title,job_family,full_time_pct,total,empl_record
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40051 -- LAS-Administrative Operations,LAS-Administrative Operations,R25-1008171,LECTURER,Other Faculty,7.5,$800.00,1
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1008206,LECTURER,Other Faculty,15,"$6,180.00",0
,Page of 29,,,Page,,of 29,,,
UCCS,C0007 -- AA-Administration,40363 -- AA-Undergraduate Education,AA-Undergraduate Education,R25-1008223,ACADEMIC SERVICES SENIOR PROF,Univ Staff - Academic Services,100,"$48,000.00",0
UCCS,C0009 -- AA-College of Business,40025 -- BUS-Administrative Ops,BUS-Administrative Ops,R25-1008277,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$45,000.00",0
UCCS,C0014 -- VCEMSA-Health & Wellness,40334 -- VCEMSA-Recreation,VCEMSA-Recreation,R25-1008334,COMMUNICATION PROGRAM MGR,Univ Staff - Communication,100,"$61,124.00",0
UCCS,C0026 -- VCAF-Public Safety,40121 -- VCAF-Police Operations,VCAF-Police Operations,R25-1008358,POLICE OFFICER I,US-Auxilliary Funding (CS),100,"$69,087.00",0
UCCS,C0014 -- VCEMSA-Health & Wellness,40226 -- VCEMSA-Wellness Cent./HS&MHS,VCEMSA-Wellness Cent./HS&MHS,R25-1008362,HEALTH CARE TECH II,US-Auxilliary Funding (CS),100,"$48,000.00",0
UCCS,C0035 -- VCEMSA-Enrollment Management,C0015 -- VCEMSA-Student Suppt/Retention,VCEMSA-Academic Advising,R25-1008425,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$47,500.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40076 -- LAS-Political Science,LAS-Political Science,R25-1008530,LECTURER,Other Faculty,22.5,"$3,060.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40076 -- LAS-Political Science,LAS-Political Science,R25-1008533,LECTURER,Other Faculty,22.5,"$3,060.00",0
UCCS,C0035 -- VCEMSA-Enrollment Management,C0036 -- VCEMSA-Enrollment Mgmt Unit,VCEMSA-Registrar,R25-1008581,ACADEMIC SERVICES ENTRY PROF,Univ Staff - Academic Services,50,"$23,093.00",0
UCCS,C0007 -- AA-Administration,40386 -- Chanc-Lyda Hill Inst - Hum Res,Chanc-Lyda Hill Inst - Hum Res,R25-1008606,ADMIN ASSISTANT II,US-Auxilliary Funding (CS),100,"$43,680.00",0
UCCS,C0039 -- VCAF-Auxiliary Services,40253 -- VCAF-Dining & Hospitality,VCAF-Dining & Hospitality,R25-1008649,FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$36,400.00",0
UCCS,C0039 -- VCAF-Auxiliary Services,40253 -- VCAF-Dining & Hospitality,VCAF-Dining & Hospitality,R25-1008655,LEAD FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$39,520.00",0
UCCS,C0010 -- AA-College of Education,40041 -- COE-Teaching & Learning,COE-Teaching & Learning,R25-1008668,ASSISTANT TEACHING PROFESSOR,Regular Faculty,100,"$54,000.00",0
UCCS,C0010 -- AA-College of Education,40041 -- COE-Teaching & Learning,COE-Teaching & Learning,R25-1008668,INSTRUCTOR CLINICAL (C/T)-SR,Clinical Faculty,2.5,"$1,729.00",1
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40235 -- LAS-Innovation Program,LAS-Innovation Program,R25-1008682,LECTURER,Other Faculty,22.5,"$3,800.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40068 -- LAS-Communication,LAS-Communication,R25-1008731,LECTURER,Other Faculty,22.5,"$3,060.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40232 -- LAS-Mathematics,LAS-Mathematics,R25-1009365,LECTURER,Other Faculty,30,"$4,080.00",0
UCCS,C0005 -- VCAF-Administration,C0024 -- VCAF-Resource Management,VCAF-RM-Controller's Office,R25-1009436,FINANCE/ACCTG PROFESSIONAL,Univ Staff- Finance & Acct.,100,"$68,500.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40062 -- LAS-Biology,LAS-Biology,R25-1009448,LECTURER,Other Faculty,60,"$10,450.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40232 -- LAS-Mathematics,LAS-Mathematics,R25-1009451,LECTURER,Other Faculty,60,"$8,360.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40232 -- LAS-Mathematics,LAS-Mathematics,R25-1009455,LECTURER,Other Faculty,45,"$6,270.00",0
UCCS,C0017 -- AA-College of Nursing,40081 -- Beth-El UG Nursing,Beth-El UG Nursing,R25-1009465,LECTURER,Other Faculty,13.9,"$4,895.00",0
UCCS,C0005 -- VCAF-Administration,C0024 -- VCAF-Resource Management,VCAF-RM-Controller's Office,R25-1009574,FINANCE/ACCTG SENIOR PROF,Univ Staff- Finance & Acct.,100,"$74,000.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40059 -- LAS-Music,LAS-Music,R25-1009585,LECTURER,Other Faculty,7.5,$600.00,0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40059 -- LAS-Music,LAS-Music,R25-1009585,LECTURER,Other Faculty,22.5,"$3,135.00",1
UCCS,C0017 -- AA-College of Nursing,40399 -- Beth-El Clinic Operations,Beth-El Clinic Operations,R25-1009595,OFFICE MANAGER I,US-Auxilliary Funding (CS),100,"$70,538.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40055 -- LAS-Foreign Language & Culture,LAS-Foreign Language & Culture,R25-1009618,LECTURER,Other Faculty,30,"$4,080.00",0
UCCS,C0007 -- AA-Administration,40363 -- AA-Undergraduate Education,AA-Undergraduate Education,R25-1009668,LECTURER,Other Faculty,22.5,"$3,060.00",0
UCCS,"C0012 -- AA-College of Letters,Arts&Sci",40055 -- LAS-Foreign Language & Culture,LAS-Foreign Language & Culture,R25-1009669,LECTURER,Other Faculty,37.5,"$5,100.00",0
UCCS,C0038 -- VCAF-Admin Services,40117 -- VCAF-Facility Services,VCAF-Facility Services,R25-1009779,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$40,032.00",0
UCCS,C0038 -- VCAF-Admin Services,40117 -- VCAF-Facility Services,VCAF-Facility Services,R25-1009795,CUSTODIAN I,"Class Staff-Labor,Trades&Crfts",100,"$40,032.00",0
UCCS,C0010 -- AA-College of Education,"40040 -- COE-Leadership, Research & Fou","COE-Leadership, Research & Fou",R25-1009814,LECTURER,Other Faculty,22.5,"$3,000.00",0
UCCS,C0021 -- VCEMSA-Athletics,40009 -- VCEMSA-Intercolleg Athletics,VCEMSA-Intercolleg Athletics,R25-1009819,HEAD ATHLETIC COACH,Univ Staff - Athletics,100,"$62,000.00",0
UCCS,C0035 -- VCEMSA-Enrollment Management,C0015 -- VCEMSA-Student Suppt/Retention,VCEMSA-Academic Advising,R25-1009840,ACADEMIC SERVICES PROFESSIONAL,Univ Staff - Academic Services,100,"$47,000.00",0
UCCS,C0007 -- AA-Administration,40363 -- AA-Undergraduate Education,AA-Undergraduate Education,R25-1009840,LECTURER-SECONDARY STAFF MBR,Other Faculty,2.5,"$3,060.00",1
UCCS,C0039 -- VCAF-Auxiliary Services,40253 -- VCAF-Dining & Hospitality,VCAF-Dining & Hospitality,R25-1010185,HOSPITALITY MANAGER,Univ Staff - Hospitality,100,"$56,000.00",0
UCCS,C0013 -- Chanc-Ent Center For Arts,40255 -- Chanc-Ent-Ent Center Admin,Chanc-Ent-Ent Center Admin,R25-1010187,HOSPITALITY PROFESSIONAL,Univ Staff - Hospitality,100,"$51,000.00",0
UCCS,C0018 -- AA-School of Public Affairs,40085 -- CPS Social Work,CPS Social Work,R25-1010230,LECTURER,Other Faculty,22.5,"$3,250.00",0
UCCS,C0007 -- AA-Administration,40386 -- Chanc-Lyda Hill Inst - Hum Res,Chanc-Lyda Hill Inst - Hum Res,R25-1010236,BUSINESS SERVICES PROFESSIONAL,Univ Staff - Business Services,75,"$41,250.00",0
UCCS,C0017 -- AA-College of Nursing,40086 -- Beth-El Admin,Beth-El Admin,R25-1010284,COMMUNICATION PROFESSIONAL,Univ Staff - Communication,100,"$63,000.00",0
UCCS,C0017 -- AA-College of Nursing,40399 -- Beth-El Clinic Operations,Beth-El Clinic Operations,R25-1010288,HEALTH CARE PRINCIPAL PROF,Univ Staff - Healthcare,2.5,"$1,768.00",0
UCCS,C0017 -- AA-College of Nursing,40082 -- Beth-El Grad Nursing,Beth-El Grad Nursing,R25-1010291,LECTURER,Other Faculty,2.5,$375.00,0
UCCS,40250 -- VCUA-University Development,,VCUA-University Development,R25-1010304,COMMUNICATION PROFESSIONAL,Univ Staff - Communication,100,"$54,000.00",0
UCCS,C0018 -- AA-School of Public Affairs,40084 -- CPS Administrative Ops,CPS Administrative Ops,R25-1010310,LECTURER,Other Faculty,22.5,"$3,750.00",0
UCCS,C0011 -- AA-College of Engineering,40045 -- EAS-Computer Science,EAS-Computer Science,R25-1010322,LECTURER,Other Faculty,67.5,"$16,500.00",0
UCCS,C0039 -- VCAF-Auxiliary Services,40253 -- VCAF-Dining & Hospitality,VCAF-Dining & Hospitality,R25-1010361,FOOD SERVICE WORKER,US-Auxilliary Funding (CS),100,"$37,440.00",0
UCCS,C0010 -- AA-College of Education,40038 -- COE - Counseling and Human Ser,COE - Counseling and Human Ser,R25-1010378,LECTURER,Other Faculty,22.5,"$3,000.00",0
